unit_id,product_line,component_type,production_date,shift,operator_id,inspection_result,defect_type,production_time_mins,unit_cost_aud,client,line_id
10228,RF Assembly,Frequency Converter,"December 20, 2023",AFTERNOON,OP132,pass,None,35,1815.65,MIN,Line C
10218,COMMS UNIT,Control Interface,17/03/2024,Night,OP139,Pass,N/A,-60,"1,717.20",MINING,Line C
10408,antenna system,Patch Antenna,06-Mar-24,Night,OP111,PASS,,60,$864.11,MINING,Line C
10128,comms unit,Power Supply Unit,28/3/2024,Night,OP130,fail,Cold Joint,120,N/A,Export,Line C
10314,Antenna System,Patch Antenna,19.11.2024,Morn,OP109,Pass,,90,N/A,Min,Line A
10093,Comms Unit,Power Supply Unit,2024-02-14,morning,OP100,Rework,Short Circuit,forty-five,N/A,MIN,Line B
10141,RF Assembly,Signal Filter,5/5/2023,morning,OP142,pass,N/A,0,($2065.27),MINING,Line C
10140,antenna system,Horn Antenna,05.04.2024,night,OP140,pass,,one-twenty,795.30,EXPORT,Line B
10204,RF ASSEMBLY,RF Module,24/11/2023,morning,OP124,fail,Cold Joint,N/A,($1107.86),mining,Line B
10189,RF assembly,Frequency Converter,03/02/2024,Nght,OP136,Pass,N/A,N/A,,MINING,Line C
10305,COMMS UNIT,Power Supply Unit,13.08.2023,AFTERNOON,OP124,pass,,N/A,($2310.92),MIN,Line A
10431,Antenna System,Dipole Antenna,20-Oct-24,morning,OP111,PASS,N/A,N/A,,Exp,Line B
10094,Antenna System,Yagi Array,25/3/2023,Morning,OP103,rework,Cold Joint,120,N/A,Defence,Line A
10148,RF assembly,Power Amplifier,28-09-2024,Morn,OP142,Pass,,-35,($544.30),EXPORT,Line C
10290,RF assembly,RF Module,21/04/2023,PM-Night,OP143,Re-work,Wrong Component,30,,Export,Line A
10032,RF ASSEMBLY,Power Amplifier,02/08/2024,Afternoon,OP142,pass,N/A,N/A,2082.48,MINING,Line B
10009,Comms Unit,Transceiver Module,21-03-2024,NIGHT,OP141,pass,,N/A,($2090.48),Def,Line B
10121,RF Assembly,RF Module,2024-04-06,night,OP139,FAIL,Solder Bridge,-50,$577.32,Mining,Line B
10181,ANTENNA SYSTEM,Yagi Array,23/07/2024,Aftn,OP105,PASS,,sixty,N/A,EXPORT,Line B
10250,Antenna System,Dipole Antenna,2023-10-29,AFTERNOON,OP119,FAIL,Wrong Component,0,N/A,MIN,Line B
10303,Antenna System,Yagi Array,10.11.2023,Morn,OP112,pass,None,thirty,"1,885.72",EXPORT,Line C
10320,comms unit,Encryption Board,18.07.2023,Morn,OP119,pass,None,35,($2439.59),Def,Line C
10404,rf assembly,Power Amplifier,13.01.2023,afternoon,OP121,Pass,N/A,50,"$2,081.97",mining,Line A
10046,Comms Unit,Transceiver Module,02.06.2023,MORNING,OP107,PASS,None,N/A,"$1,208.71",Def,Line C
10234,ANTENNA SYSTEM,Dipole Antenna,16/09/2024,night,OP113,Pass,None,thirty,$1447.18,Defence,Line B
10199,Antenna System,Yagi Array,2023-02-03,AM,OP144,Rework,Calibration Error,-30,N/A,Min,Line C
10038,rf assembly,Power Amplifier,2024-07-11,Night,OP117,Fail,Solder Bridge,-25,,Min,Line B
10144,Antenna System,Horn Antenna,06.12.2024,NIGHT,OP117,PASS,,0,$243.67,EXPORT,Line B
10008,comms unit,Encryption Board,2023-04-04,Night,OP136,Pass,N/A,90,$1943.31,mining,Line C
10366,Comms Unit,Control Interface,05-Jul-23,Night,OP105,PASS,N/A,40,"2,165.67",MINING,Line C
10242,ANTENNA SYSTEM,Horn Antenna,17/07/2024,afternoon,OP116,PASS,,0,1235.64,DEF,Line C
10157,Antenna System,Horn Antenna,2023-02-22,AM,OP118,pass,,20,($2436.90),export,Line A
10369,COMMS UNIT,Control Interface,18/07/2024,Aftn,OP114,Rework,Wrong Component,twenty,N/A,Def,Line C
10439,comms unit,Power Supply Unit,9/5/2024,Morn,OP109,pass,None,-20,,MINING,Line B
10165,comms unit,Encryption Board,17.10.2023,Nght,OP142,Pass,,N/A,($961.04),export,Line C
10380,Antenna System,Yagi Array,2023-07-13,PM,OP149,PASS,,N/A,,EXP,Line C
10045,rf assembly,Power Amplifier,"May 10, 2023",Nght,OP128,PASS,,N/A,$2196.69,DEFENCE,Line B
10042,ANTENNA SYSTEM,Horn Antenna,27/10/2024,Nght,OP143,Re-work,Missing Component,N/A,2200.10,Min,Line A
10022,RF ASSEMBLY,Signal Filter,03-Apr-23,MORNING,OP145,Re-work,Cold Joint,35,,Defence,Line B
10152,ANTENNA SYSTEM,Horn Antenna,2023-05-30,Aftn,OP143,Fail,Cold Joint,0,($2196.47),Export,Line A
10075,antenna system,Patch Antenna,17.04.2024,afternoon,OP100,Re-work,Missing Component,0,$521.24,Mining,Line C
10069,Antenna System,Yagi Array,12.04.2024,Morn,OP130,PASS,N/A,-90,"2,482.83",Defence,Line C
10133,ANTENNA SYSTEM,Dipole Antenna,02/08/2024,PM-Night,OP131,FAIL,Short Circuit,0,$2034.54,Export,Line A
